,Italian,English
0,non,Not
1,di,Of
2,che,That
3,è,And
4,e,And
5,la,there
6,il,The
7,un,a
8,a,to
9,per,For
10,in,in
11,una,a
12,mi,me
13,sono,I am
14,ho,I have
15,ma,but
16,l',L'
17,lo,the
18,ha,has
19,le,the
20,si,Yes
21,ti,you
22,i,the
23,con,with
24,cosa,What
25,se,self
26,io,I
27,come,as
28,da,from
29,ci,There
30,no,no
31,questo,This
32,qui,here
33,e',And'
34,hai,you have
35,sei,six
36,del,of the
37,bene,Well
38,tu,you
39,sì,Yes
40,me,myself
41,più,more
42,al,to the
43,mio,my
44,c',there
45,perché,Why
46,lei,she
47,solo,Alone
48,te,you
49,era,era
50,gli,The
51,tutto,All
52,della,from the
53,così,Like this
54,mia,my
55,ne,neither
56,questa,this
57,fare,Do
58,quando,when
59,fatto,Done
60,essere,to be
61,so,I know
62,mai,never
63,chi,who
64,o,or
65,alla,at the
66,tutti,everyone
67,molto,Very
68,dei,of the
69,anche,Also
70,detto,said
71,quello,that
72,va,it goes
73,niente,Nothing
74,grazie,Thank you
75,lui,he
76,voglio,I want
77,abbiamo,we have
78,stato,state
79,nel,In the
80,suo,his
81,dove,Where
82,posso,I can
83,oh,Oh
84,allora,At that time
85,siamo,we are
86,d',d '
87,uno,one
88,un',a
89,sua,her
90,tuo,your
91,hanno,they have
92,noi,we
93,sta,is
94,fa,does
95,due,two
96,vuoi,you want
97,ancora,Still
